q1,q2,cost,valid_flag,dist_proj_to_goal_proj,o4_proj_x,o4_proj_y,o4_proj_z
-1.552556,0.191889,0.652401,1,0.168805,0.576337,0.000000,0.171154
-1.552556,0.209333,0.634340,1,0.164499,0.575371,0.000000,0.175496
-1.552556,0.226778,0.619430,1,0.160181,0.574329,0.000000,0.179821
-1.552556,0.244222,0.607670,1,0.155852,0.573213,0.000000,0.184127
-1.552556,0.261667,0.599061,1,0.151512,0.572021,0.000000,0.188412
-1.552556,0.279111,0.593604,1,0.147161,0.570755,0.000000,0.192677
-1.552556,0.296556,0.591298,1,0.142801,0.569415,0.000000,0.196918
-1.552556,0.314000,0.590602,1,0.138430,0.568001,0.000000,0.201136
-1.552556,0.331444,0.589971,1,0.134050,0.566513,0.000000,0.205328
-1.552556,0.348889,0.589407,1,0.129661,0.564953,0.000000,0.209494
-1.552556,0.366333,0.588910,1,0.125264,0.563320,0.000000,0.213631
-1.552556,0.383778,0.588480,1,0.120858,0.561615,0.000000,0.217740
-1.552556,0.401222,0.588118,1,0.116446,0.559839,0.000000,0.221818
-1.552556,0.418667,0.587823,1,0.112026,0.557992,0.000000,0.225865
-1.552556,0.436111,0.587597,1,0.107600,0.556075,0.000000,0.229879
-1.552556,0.453556,0.587439,1,0.103169,0.554088,0.000000,0.233859
-1.552556,0.471000,0.587349,1,0.098732,0.552032,0.000000,0.237803
-1.552556,0.488444,0.587329,1,0.094292,0.549907,0.000000,0.241711
-1.552556,0.505889,0.587378,1,0.089847,0.547714,0.000000,0.245582
-1.552556,0.523333,0.587496,1,0.085401,0.545455,0.000000,0.249413
-1.552556,0.540778,0.587684,1,0.080953,0.543128,0.000000,0.253205
-1.552556,0.558222,0.587943,1,0.076505,0.540737,0.000000,0.256955
-1.552556,0.575667,0.588271,1,0.072058,0.538280,0.000000,0.260663
-1.552556,0.593111,0.588670,1,0.067614,0.535758,0.000000,0.264328
-1.552556,0.610556,0.589139,1,0.063175,0.533173,0.000000,0.267948
-1.552556,0.628000,0.589679,1,0.058744,0.530526,0.000000,0.271523
-1.552556,0.645444,0.590290,1,0.054324,0.527816,0.000000,0.275051
-1.552556,0.662889,0.590972,1,0.049919,0.525045,0.000000,0.278531
-1.552556,0.680333,0.591725,1,0.045537,0.522214,0.000000,0.281962
-1.552556,0.697778,0.592550,1,0.041184,0.519324,0.000000,0.285343
-1.552556,0.715222,0.593446,1,0.036875,0.516375,0.000000,0.288673
-1.552556,0.732667,0.594414,1,0.032625,0.513368,0.000000,0.291952
-1.552556,0.750111,0.595453,1,0.028466,0.510305,0.000000,0.295177
-1.552556,0.767556,0.596564,1,0.024444,0.507186,0.000000,0.298348
-1.552556,0.785000,0.597746,1,0.020641,0.504012,0.000000,0.301465
-1.552556,0.802444,0.599001,1,0.017204,0.500784,0.000000,0.304526
-1.552556,0.819889,0.600327,1,0.014400,0.497503,0.000000,0.307530
-1.552556,0.837333,0.601726,1,0.012657,0.494171,0.000000,0.310476
-1.552556,0.854778,0.603196,1,0.012431,0.490787,0.000000,0.313364
-1.552556,0.872222,0.604738,1,0.013797,0.487354,0.000000,0.316192
-1.552556,0.889667,0.606352,1,0.016360,0.483872,0.000000,0.318960
-1.552556,0.907111,0.608038,1,0.019657,0.480342,0.000000,0.321667
-1.552556,0.924556,0.609796,1,0.023379,0.476765,0.000000,0.324311
-1.552556,0.942000,0.611625,1,0.027351,0.473143,0.000000,0.326893
-1.552556,0.959444,0.613527,1,0.031479,0.469476,0.000000,0.329412
-1.552556,0.976889,0.615500,1,0.035707,0.465766,0.000000,0.331866
-1.552556,0.994333,0.617544,1,0.040002,0.462014,0.000000,0.334255
-1.552556,1.011778,0.619660,1,0.044345,0.458220,0.000000,0.336578
-1.552556,1.029222,0.621848,1,0.048720,0.454387,0.000000,0.338835
-1.552556,1.046667,0.624106,1,0.053119,0.450515,0.000000,0.341024
-1.552556,1.064111,0.626436,1,0.057535,0.446605,0.000000,0.343146
-1.552556,1.081556,0.628837,1,0.061964,0.442659,0.000000,0.345199
-1.552556,1.099000,0.631308,1,0.066401,0.438678,0.000000,0.347183
-1.552556,1.116444,0.633850,1,0.070844,0.434662,0.000000,0.349097
-1.552556,1.133889,0.636463,1,0.075290,0.430614,0.000000,0.350941
-1.552556,1.151333,0.639146,1,0.079738,0.426534,0.000000,0.352713
-1.552556,1.168778,0.641898,1,0.084186,0.422424,0.000000,0.354415
-1.552556,1.186222,0.644721,1,0.088633,0.418285,0.000000,0.356044
-1.552556,1.203667,0.647613,1,0.093078,0.414118,0.000000,0.357601
-1.552556,1.221111,0.650575,1,0.097520,0.409925,0.000000,0.359086
-1.552556,1.238556,0.653605,1,0.101957,0.405706,0.000000,0.360496
-1.552556,1.256000,0.656705,1,0.106390,0.401464,0.000000,0.361833
-1.552556,1.273444,0.661416,1,0.110818,0.397198,0.000000,0.363096
-1.552556,1.290889,0.669282,1,0.115239,0.392912,0.000000,0.364284
-1.552556,1.308333,0.680302,1,0.119654,0.388605,0.000000,0.365397
-1.552556,1.325778,0.694476,1,0.124061,0.384280,0.000000,0.366435
-1.552556,1.343222,0.711804,1,0.128461,0.379937,0.000000,0.367398
-1.552556,1.360667,0.732285,1,0.132852,0.375578,0.000000,0.368284
-1.552556,1.378111,0.755919,1,0.137234,0.371204,0.000000,0.369094
-1.552556,1.395556,0.782706,1,0.141608,0.366816,0.000000,0.369828
-1.552556,1.413000,0.812645,1,0.145971,0.362417,0.000000,0.370485
-1.552556,1.430444,0.845736,1,0.150325,0.358007,0.000000,0.371066
-1.552556,1.447889,0.881979,1,0.154668,0.353587,0.000000,0.371569
-1.552556,1.465333,0.921372,1,0.159000,0.349159,0.000000,0.371995
-1.552556,1.482778,0.963917,1,0.163321,0.344724,0.000000,0.372344
-1.552556,1.500222,1.009611,1,0.167630,0.340285,0.000000,0.372615
-1.552556,1.517667,1.058456,1,0.171927,0.335840,0.000000,0.372809
-1.552556,1.535111,1.110450,1,0.176212,0.331394,0.000000,0.372926
-1.552556,1.552556,1.165592,1,0.180483,0.326946,0.000000,0.372964
-1.552556,1.570000,1.223884,1,0.184742,0.322497,0.000000,0.372926
-1.535111,-1.570000,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.552556,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.535111,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.517667,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.500222,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.482778,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.465333,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.447889,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.430444,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.413000,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.395556,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.378111,inf,0,inf,0.000000,0.000000,0.000000
-1.535111,-1.360667,inf,0,inf,0.000000,0.000000,0.000000
